SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,RL_MSL,Data Acquisition Time,Groundwater Level Quarterly Manual (meter)
1,6 PB,CGWB,8,Rajasthan,93,BIKANER,BIKANER,BIKANER,6 PB,-,-,-,-,-,-,28.66944444,72.75000000,,10-01-2021 00:00,17.55
2,6 PB,CGWB,8,Rajasthan,93,BIKANER,BIKANER,BIKANER,6 PB,-,-,-,-,-,-,28.66944444,72.75000000,,31-08-2021 06:00,16.54
3,6 PB,CGWB,8,Rajasthan,93,BIKANER,BIKANER,BIKANER,6 PB,-,-,-,-,-,-,28.66944444,72.75000000,,30-11-2021 06:00,16.51
4,6 PB,CGWB,8,Rajasthan,93,BIKANER,BIKANER,BIKANER,6 PB,-,-,-,-,-,-,28.66944444,72.75000000,,30-01-2022 07:00,16.33
5,6 PB,CGWB,8,Rajasthan,93,BIKANER,BIKANER,BIKANER,6 PB,-,-,-,-,-,-,28.66944444,72.75000000,,30-05-2022 06:00,15.68
6,6 PB,CGWB,8,Rajasthan,93,BIKANER,BIKANER,BIKANER,6 PB,-,-,-,-,-,-,28.66944444,72.75000000,,30-08-2022 06:00,14.99
7,6 PB,CGWB,8,Rajasthan,93,BIKANER,BIKANER,BIKANER,6 PB,-,-,-,-,-,-,28.66944444,72.75000000,,10-11-2022 06:00,14.4
8,6 PB,CGWB,8,Rajasthan,93,BIKANER,BIKANER,BIKANER,6 PB,-,-,-,-,-,-,28.66944444,72.75000000,,10-01-2023 00:00,14.7
9,6 PB,CGWB,8,Rajasthan,93,BIKANER,BIKANER,BIKANER,6 PB,-,-,-,-,-,-,28.66944444,72.75000000,,30-05-2023 00:00,13.4
10,6 PB,CGWB,8,Rajasthan,93,BIKANER,BIKANER,BIKANER,6 PB,-,-,-,-,-,-,28.66944444,72.75000000,,30-08-2023 00:00,13.28
11,6 PB,CGWB,8,Rajasthan,93,BIKANER,BIKANER,BIKANER,6 PB,-,-,-,-,-,-,28.66944444,72.75000000,,10-11-2023 00:00,13.5
12,6 PB,CGWB,8,Rajasthan,93,BIKANER,BIKANER,BIKANER,6 PB,-,-,-,-,-,-,28.66944444,72.75000000,,10-01-2024 00:00,12.18
13,AFRI(Jodhpur),CGWB,8,Rajasthan,107,JODHPUR,LUNI,LUNI,Jodhpur,-,-,-,-,-,-,26.22972222,73.02972222,,10-01-2021 00:00,15.7
14,AFRI(Jodhpur),CGWB,8,Rajasthan,107,JODHPUR,LUNI,LUNI,Jodhpur,-,-,-,-,-,-,26.22972222,73.02972222,,31-08-2021 06:00,17.5
15,AFRI(Jodhpur),CGWB,8,Rajasthan,107,JODHPUR,LUNI,LUNI,Jodhpur,-,-,-,-,-,-,26.22972222,73.02972222,,30-11-2021 06:00,16.2
16,AFRI(Jodhpur),CGWB,8,Rajasthan,107,JODHPUR,LUNI,LUNI,Jodhpur,-,-,-,-,-,-,26.22972222,73.02972222,,30-01-2022 07:00,15.9
17,AFRI(Jodhpur),CGWB,8,Rajasthan,107,JODHPUR,LUNI,LUNI,Jodhpur,-,-,-,-,-,-,26.22972222,73.02972222,,30-05-2022 06:00,16.4
18,AFRI(Jodhpur),CGWB,8,Rajasthan,107,JODHPUR,LUNI,LUNI,Jodhpur,-,-,-,-,-,-,26.22972222,73.02972222,,30-08-2022 06:00,16
19,AFRI(Jodhpur),CGWB,8,Rajasthan,107,JODHPUR,LUNI,LUNI,Jodhpur,-,-,-,-,-,-,26.22972222,73.02972222,,10-11-2022 06:00,15.43
20,AFRI(Jodhpur),CGWB,8,Rajasthan,107,JODHPUR,LUNI,LUNI,Jodhpur,-,-,-,-,-,-,26.22972222,73.02972222,,10-01-2023 00:00,15.45
21,AFRI(Jodhpur),CGWB,8,Rajasthan,107,JODHPUR,LUNI,LUNI,Jodhpur,-,-,-,-,-,-,26.22972222,73.02972222,,30-08-2023 00:00,14.9
22,AFRI(Jodhpur),CGWB,8,Rajasthan,107,JODHPUR,LUNI,LUNI,Jodhpur,-,-,-,-,-,-,26.22972222,73.02972222,,10-11-2023 00:00,14.8
23,AFRI(Jodhpur)_1,CGWB,8,Rajasthan,107,JODHPUR,-,-,-,-,-,-,-,-,-,26.22970000,73.02970000,216.00,10-01-2024 00:00,15.4
24,AGOLAI,CGWB,8,Rajasthan,107,JODHPUR,-,-,-,-,-,-,-,-,-,26.28180000,72.63090000,,10-01-2023 00:00,19.5
25,AGOLAI,CGWB,8,Rajasthan,107,JODHPUR,-,-,-,-,-,-,-,-,-,26.28180000,72.63090000,,30-05-2023 00:00,18.2
26,AGOLAI,CGWB,8,Rajasthan,107,JODHPUR,-,-,-,-,-,-,-,-,-,26.28180000,72.63090000,,30-08-2023 00:00,15.17
27,AGOLAI,CGWB,8,Rajasthan,107,JODHPUR,-,-,-,-,-,-,-,-,-,26.28180000,72.63090000,,10-01-2024 00:00,14.61
28,Ahmadpur ,CGWB,8,Rajasthan,87,ALWAR,ALWAR,Bansur,Alampur,-,-,-,-,-,-,27.81440000,76.45720000,,10-11-2023 00:00,36.9
29,Ahmadpur ,CGWB,8,Rajasthan,87,ALWAR,ALWAR,Bansur,Alampur,-,-,-,-,-,-,27.81440000,76.45720000,,10-01-2024 00:00,39.56
30,Ahmadpur_1,CGWB,8,Rajasthan,87,ALWAR,-,-,-,-,-,-,-,-,-,27.14890000,76.68580000,266.80,10-01-2024 00:00,39.56
31,AITHMEEL,CGWB,8,Rajasthan,98,DHOLPUR,DHOLPUR,DHAULPUR,AITHMEEL,-,-,-,-,-,-,26.65000000,77.80000000,,30-05-2023 00:00,17.08
32,AITHMEEL,CGWB,8,Rajasthan,98,DHOLPUR,DHOLPUR,DHAULPUR,AITHMEEL,-,-,-,-,-,-,26.65000000,77.80000000,,30-08-2023 00:00,3.67
33,AITHMEEL,CGWB,8,Rajasthan,98,DHOLPUR,DHOLPUR,DHAULPUR,AITHMEEL,-,-,-,-,-,-,26.65000000,77.80000000,,10-11-2023 00:00,3.57
34,AITHMEEL,CGWB,8,Rajasthan,98,DHOLPUR,DHOLPUR,DHAULPUR,AITHMEEL,-,-,-,-,-,-,26.65000000,77.80000000,,10-01-2024 00:00,7.3199997
35,AJAGARA,CGWB,8,Rajasthan,86,AJMER,ARAIN,ARAIN,AJAGARA,-,-,-,-,-,-,26.03333333,75.10000000,,10-01-2021 00:00,2.67
36,AJAGARA,CGWB,8,Rajasthan,86,AJMER,ARAIN,ARAIN,AJAGARA,-,-,-,-,-,-,26.03333333,75.10000000,,31-08-2021 06:00,3.17
37,AJAGARA,CGWB,8,Rajasthan,86,AJMER,ARAIN,ARAIN,AJAGARA,-,-,-,-,-,-,26.03333333,75.10000000,,30-11-2021 06:00,3.32
38,AJAGARA,CGWB,8,Rajasthan,86,AJMER,ARAIN,ARAIN,AJAGARA,-,-,-,-,-,-,26.03333333,75.10000000,,30-01-2022 07:00,3.28
39,AJAGARA,CGWB,8,Rajasthan,86,AJMER,ARAIN,ARAIN,AJAGARA,-,-,-,-,-,-,26.03333333,75.10000000,,30-05-2022 06:00,4.37
40,AJAGARA,CGWB,8,Rajasthan,86,AJMER,ARAIN,ARAIN,AJAGARA,-,-,-,-,-,-,26.03333333,75.10000000,,30-08-2022 06:00,3.32
41,AJAGARA,CGWB,8,Rajasthan,86,AJMER,ARAIN,ARAIN,AJAGARA,-,-,-,-,-,-,26.03333333,75.10000000,,10-11-2022 06:00,2.02
42,AJAGARA,CGWB,8,Rajasthan,86,AJMER,ARAIN,ARAIN,AJAGARA,-,-,-,-,-,-,26.03333333,75.10000000,,10-01-2023 00:00,2.07
43,AJAGARA,CGWB,8,Rajasthan,86,AJMER,ARAIN,ARAIN,AJAGARA,-,-,-,-,-,-,26.03333333,75.10000000,,30-05-2023 00:00,3.8200002
44,AJAGARA,CGWB,8,Rajasthan,86,AJMER,ARAIN,ARAIN,AJAGARA,-,-,-,-,-,-,26.03333333,75.10000000,,30-08-2023 00:00,2.77
45,AJAGARA,CGWB,8,Rajasthan,86,AJMER,ARAIN,ARAIN,AJAGARA,-,-,-,-,-,-,26.03333333,75.10000000,,10-11-2023 00:00,3.02
46,AJAGARA,CGWB,8,Rajasthan,86,AJMER,ARAIN,ARAIN,AJAGARA,-,-,-,-,-,-,26.03333333,75.10000000,,10-01-2024 00:00,2.82
47,AJAGARA,CGWB,8,Rajasthan,86,AJMER,ARAIN,ARAIN,AJAGARA,-,-,-,-,-,-,26.03333333,75.10000000,,30-08-2024 00:00,2.18
48,Ajit_1,CGWB,8,Rajasthan,90,BARMER,Samdari,-,-,-,-,-,-,-,-,25.86770000,72.67840000,150.00,10-11-2023 00:00,20.14
49,Ajitgarh,CGWB,8,Rajasthan,114,SIKAR,SRIMADHOPUR,SRI MADHOPUR,Ajitgarh,-,-,-,-,-,-,27.40000000,75.81666667,,10-01-2023 00:00,56.2
50,Ajitgarh,CGWB,8,Rajasthan,114,SIKAR,SRIMADHOPUR,SRI MADHOPUR,Ajitgarh,-,-,-,-,-,-,27.40000000,75.81666667,,30-05-2023 00:00,
51,Ajitgarh,CGWB,8,Rajasthan,114,SIKAR,SRIMADHOPUR,SRI MADHOPUR,Ajitgarh,-,-,-,-,-,-,27.40000000,75.81666667,,30-08-2023 00:00,
52,Ajitgarh,CGWB,8,Rajasthan,114,SIKAR,SRIMADHOPUR,SRI MADHOPUR,Ajitgarh,-,-,-,-,-,-,27.40000000,75.81666667,,10-11-2023 00:00,
53,Ajitgarh,CGWB,8,Rajasthan,114,SIKAR,SRIMADHOPUR,SRI MADHOPUR,Ajitgarh,-,-,-,-,-,-,27.40000000,75.81666667,,10-01-2024 00:00,
54,AKLERA,CGWB,8,Rajasthan,105,JHALAWAR,MANOHARTHANA,MANOHAR THANA,AKLERA,-,-,-,-,-,-,24.41250000,76.56111111,,10-01-2021 00:00,5.2
55,AKLERA,CGWB,8,Rajasthan,105,JHALAWAR,MANOHARTHANA,MANOHAR THANA,AKLERA,-,-,-,-,-,-,24.41250000,76.56111111,,31-08-2021 06:00,1.1
56,AKLERA,CGWB,8,Rajasthan,105,JHALAWAR,MANOHARTHANA,MANOHAR THANA,AKLERA,-,-,-,-,-,-,24.41250000,76.56111111,,30-11-2021 06:00,3.3
57,AKLERA,CGWB,8,Rajasthan,105,JHALAWAR,MANOHARTHANA,MANOHAR THANA,AKLERA,-,-,-,-,-,-,24.41250000,76.56111111,,30-01-2022 07:00,3.6
58,AKLERA,CGWB,8,Rajasthan,105,JHALAWAR,MANOHARTHANA,MANOHAR THANA,AKLERA,-,-,-,-,-,-,24.41250000,76.56111111,,30-05-2022 06:00,9.35
59,AKLERA,CGWB,8,Rajasthan,105,JHALAWAR,MANOHARTHANA,MANOHAR THANA,AKLERA,-,-,-,-,-,-,24.41250000,76.56111111,,30-08-2022 06:00,0.75
60,AKLERA,CGWB,8,Rajasthan,105,JHALAWAR,MANOHARTHANA,MANOHAR THANA,AKLERA,-,-,-,-,-,-,24.41250000,76.56111111,,10-11-2022 06:00,2.49
61,AKLERA,CGWB,8,Rajasthan,105,JHALAWAR,MANOHARTHANA,MANOHAR THANA,AKLERA,-,-,-,-,-,-,24.41250000,76.56111111,,30-05-2023 00:00,9.33
62,AKLERA,CGWB,8,Rajasthan,105,JHALAWAR,MANOHARTHANA,MANOHAR THANA,AKLERA,-,-,-,-,-,-,24.41250000,76.56111111,,30-08-2023 00:00,3.4900002
63,AKLERA,CGWB,8,Rajasthan,105,JHALAWAR,MANOHARTHANA,MANOHAR THANA,AKLERA,-,-,-,-,-,-,24.41250000,76.56111111,,10-11-2023 00:00,4.67
64,AKLERA,CGWB,8,Rajasthan,105,JHALAWAR,MANOHARTHANA,MANOHAR THANA,AKLERA,-,-,-,-,-,-,24.41250000,76.56111111,,10-01-2024 00:00,5.35
65,AKOLA,CGWB,8,Rajasthan,95,CHITTORGARH,BHOPALSAGAR,BHOPALSAGAR,AKOLA,-,-,-,-,-,-,24.75000000,74.19916667,,10-01-2021 00:00,12.05
66,AKOLA,CGWB,8,Rajasthan,95,CHITTORGARH,BHOPALSAGAR,BHOPALSAGAR,AKOLA,-,-,-,-,-,-,24.75000000,74.19916667,,31-08-2021 06:00,8
67,AKOLA,CGWB,8,Rajasthan,95,CHITTORGARH,BHOPALSAGAR,BHOPALSAGAR,AKOLA,-,-,-,-,-,-,24.75000000,74.19916667,,30-11-2021 06:00,7.84
68,AKOLA,CGWB,8,Rajasthan,95,CHITTORGARH,BHOPALSAGAR,BHOPALSAGAR,AKOLA,-,-,-,-,-,-,24.75000000,74.19916667,,30-01-2022 07:00,7.5
69,AKOLA,CGWB,8,Rajasthan,95,CHITTORGARH,BHOPALSAGAR,BHOPALSAGAR,AKOLA,-,-,-,-,-,-,24.75000000,74.19916667,,30-05-2022 06:00,10.05
70,AKOLA,CGWB,8,Rajasthan,95,CHITTORGARH,BHOPALSAGAR,BHOPALSAGAR,AKOLA,-,-,-,-,-,-,24.75000000,74.19916667,,30-08-2022 06:00,6.05
71,AKOLA,CGWB,8,Rajasthan,95,CHITTORGARH,BHOPALSAGAR,BHOPALSAGAR,AKOLA,-,-,-,-,-,-,24.75000000,74.19916667,,10-11-2022 06:00,7.35
72,AKOLA,CGWB,8,Rajasthan,95,CHITTORGARH,BHOPALSAGAR,BHOPALSAGAR,AKOLA,-,-,-,-,-,-,24.73333333,74.26666667,,10-01-2023 00:00,6.9
73,AKOLA,CGWB,8,Rajasthan,95,CHITTORGARH,BHOPALSAGAR,BHOPALSAGAR,AKOLA,-,-,-,-,-,-,24.75000000,74.19916667,,30-05-2023 00:00,10.42
74,AKOLA,CGWB,8,Rajasthan,95,CHITTORGARH,BHOPALSAGAR,BHOPALSAGAR,AKOLA,-,-,-,-,-,-,24.75000000,74.19916667,,30-08-2023 00:00,7.2400002
75,AKOLA,CGWB,8,Rajasthan,95,CHITTORGARH,BHOPALSAGAR,BHOPALSAGAR,AKOLA,-,-,-,-,-,-,24.75000000,74.19916667,,10-11-2023 00:00,7.6600003
76,AKOLA,CGWB,8,Rajasthan,95,CHITTORGARH,BHOPALSAGAR,BHOPALSAGAR,AKOLA,-,-,-,-,-,-,24.75000000,74.19916667,,10-01-2024 00:00,9.12
77,AKTASA,CGWB,8,Rajasthan,105,JHALAWAR,JHALRAPATAN,JHALRA PATAN,AKTASA,-,-,-,-,-,-,24.48750000,76.30277778,,10-01-2021 00:00,6.39
78,AKTASA,CGWB,8,Rajasthan,105,JHALAWAR,JHALRAPATAN,JHALRA PATAN,AKTASA,-,-,-,-,-,-,24.48750000,76.30277778,,31-08-2021 06:00,1.11
79,AKTASA,CGWB,8,Rajasthan,105,JHALAWAR,JHALRAPATAN,JHALRA PATAN,AKTASA,-,-,-,-,-,-,24.48750000,76.30277778,,30-11-2021 06:00,3.84
80,AKTASA,CGWB,8,Rajasthan,105,JHALAWAR,JHALRAPATAN,JHALRA PATAN,AKTASA,-,-,-,-,-,-,24.48750000,76.30277778,,30-01-2022 07:00,2.47
81,AKTASA,CGWB,8,Rajasthan,105,JHALAWAR,JHALRAPATAN,JHALRA PATAN,AKTASA,-,-,-,-,-,-,24.48750000,76.30277778,,30-05-2022 06:00,6.59
82,AKTASA,CGWB,8,Rajasthan,105,JHALAWAR,JHALRAPATAN,JHALRA PATAN,AKTASA,-,-,-,-,-,-,24.48750000,76.30277778,,30-08-2022 06:00,1.2
83,AKTASA,CGWB,8,Rajasthan,105,JHALAWAR,JHALRAPATAN,JHALRA PATAN,AKTASA,-,-,-,-,-,-,24.48750000,76.30277778,,10-11-2022 06:00,2.75
84,AKTASA,CGWB,8,Rajasthan,105,JHALAWAR,JHALRAPATAN,JHALRA PATAN,AKTASA,-,-,-,-,-,-,24.48750000,76.30277778,,10-01-2023 00:00,5.49
85,AKTASA,CGWB,8,Rajasthan,105,JHALAWAR,JHALRAPATAN,JHALRA PATAN,AKTASA,-,-,-,-,-,-,24.48750000,76.30277778,,30-05-2023 00:00,7.66
86,AKTASA,CGWB,8,Rajasthan,105,JHALAWAR,JHALRAPATAN,JHALRA PATAN,AKTASA,-,-,-,-,-,-,24.48750000,76.30277778,,30-08-2023 00:00,2.36
87,AKTASA,CGWB,8,Rajasthan,105,JHALAWAR,JHALRAPATAN,JHALRA PATAN,AKTASA,-,-,-,-,-,-,24.48750000,76.30277778,,10-11-2023 00:00,5.04
88,AKTASA,CGWB,8,Rajasthan,105,JHALAWAR,JHALRAPATAN,JHALRA PATAN,AKTASA,-,-,-,-,-,-,24.48750000,76.30277778,,10-01-2024 00:00,5.1899996
89,ALANIA,CGWB,8,Rajasthan,109,KOTA,LADPURA,LADPURA,ALANIA,-,-,-,-,-,-,25.04083333,75.89000000,,10-01-2023 00:00,8.299999
90,ALANIA,CGWB,8,Rajasthan,109,KOTA,LADPURA,LADPURA,ALANIA,-,-,-,-,-,-,25.04083333,75.89000000,,30-05-2023 00:00,
91,ALANIA,CGWB,8,Rajasthan,109,KOTA,LADPURA,LADPURA,ALANIA,-,-,-,-,-,-,25.04083333,75.89000000,,30-08-2023 00:00,
92,ALANIA,CGWB,8,Rajasthan,109,KOTA,LADPURA,LADPURA,ALANIA,-,-,-,-,-,-,25.04083333,75.89000000,,10-11-2023 00:00,
93,ALANIA,CGWB,8,Rajasthan,109,KOTA,LADPURA,LADPURA,ALANIA,-,-,-,-,-,-,25.04083333,75.89000000,,10-01-2024 00:00,
94,Alanpur,CGWB,8,Rajasthan,87,ALWAR,BANSUR,BANSUR,Alanpur,-,-,-,-,-,-,27.80000000,76.43333333,,10-01-2023 00:00,52.71
95,Alanpur,CGWB,8,Rajasthan,87,ALWAR,BANSUR,BANSUR,Alanpur,-,-,-,-,-,-,27.80000000,76.43333333,,30-05-2023 00:00,54.2
96,Alanpur,CGWB,8,Rajasthan,87,ALWAR,BANSUR,BANSUR,Alanpur,-,-,-,-,-,-,27.80000000,76.43333333,,30-08-2023 00:00,53.85
97,Alanpur,CGWB,8,Rajasthan,87,ALWAR,BANSUR,BANSUR,Alanpur,-,-,-,-,-,-,27.80000000,76.43333333,,10-11-2023 00:00,54.5
98,Alanpur,CGWB,8,Rajasthan,87,ALWAR,BANSUR,BANSUR,Alanpur,-,-,-,-,-,-,27.80000000,76.43333333,,10-01-2024 00:00,57.45
99,ALIGARH,CGWB,8,Rajasthan,116,TONK,UNIARA,UNIARA,ALIGARH,-,-,-,-,-,-,25.96666667,76.08333333,,10-01-2023 00:00,6.3
100,ALIGARH,CGWB,8,Rajasthan,116,TONK,UNIARA,UNIARA,ALIGARH,-,-,-,-,-,-,25.96666667,76.08333333,,30-05-2023 00:00,18.060001
101,ALIGARH,CGWB,8,Rajasthan,116,TONK,UNIARA,UNIARA,ALIGARH,-,-,-,-,-,-,25.96666667,76.08333333,,30-08-2023 00:00,8.19
102,ALIGARH,CGWB,8,Rajasthan,116,TONK,UNIARA,UNIARA,ALIGARH,-,-,-,-,-,-,25.96666667,76.08333333,,10-11-2023 00:00,19.19
103,ALIGARH,CGWB,8,Rajasthan,116,TONK,UNIARA,UNIARA,ALIGARH,-,-,-,-,-,-,25.96666667,76.08333333,,10-01-2024 00:00,17.240002
104,Alisar,CGWB,8,Rajasthan,102,JAIPUR,GOVINDGARH,GOVINDGARH,Alisar,-,-,-,-,-,-,27.23444444,75.58250000,,10-01-2021 00:00,57.4
105,Alisar,CGWB,8,Rajasthan,102,JAIPUR,GOVINDGARH,GOVINDGARH,Alisar,-,-,-,-,-,-,27.23444444,75.58250000,,31-08-2021 06:00,61.35
106,Alisar,CGWB,8,Rajasthan,102,JAIPUR,GOVINDGARH,GOVINDGARH,Alisar,-,-,-,-,-,-,27.23444444,75.58250000,,30-11-2021 06:00,61.1
107,Alisar,CGWB,8,Rajasthan,102,JAIPUR,GOVINDGARH,GOVINDGARH,Alisar,-,-,-,-,-,-,27.23444444,75.58250000,,30-01-2022 07:00,61.25
108,Alisar,CGWB,8,Rajasthan,102,JAIPUR,GOVINDGARH,GOVINDGARH,Alisar,-,-,-,-,-,-,27.23444444,75.58250000,,30-05-2022 06:00,61.76
109,Alisar,CGWB,8,Rajasthan,102,JAIPUR,GOVINDGARH,GOVINDGARH,Alisar,-,-,-,-,-,-,27.23444444,75.58250000,,30-08-2022 06:00,62
110,Alisar,CGWB,8,Rajasthan,102,JAIPUR,GOVINDGARH,GOVINDGARH,Alisar,-,-,-,-,-,-,27.23444444,75.58250000,,10-11-2022 06:00,62.1
111,Alisar,CGWB,8,Rajasthan,102,JAIPUR,GOVINDGARH,GOVINDGARH,Alisar,-,-,-,-,-,-,27.23444444,75.58250000,,10-01-2023 00:00,62.780003
112,Alisar,CGWB,8,Rajasthan,102,JAIPUR,GOVINDGARH,GOVINDGARH,Alisar,-,-,-,-,-,-,27.23444444,75.58250000,,30-05-2023 00:00,63.680004
113,Alisar,CGWB,8,Rajasthan,102,JAIPUR,GOVINDGARH,GOVINDGARH,Alisar,-,-,-,-,-,-,27.23444444,75.58250000,,30-08-2023 00:00,62.100002
114,Alisar,CGWB,8,Rajasthan,102,JAIPUR,GOVINDGARH,GOVINDGARH,Alisar,-,-,-,-,-,-,27.23444444,75.58250000,,10-11-2023 00:00,66.45
115,Alisar,CGWB,8,Rajasthan,102,JAIPUR,GOVINDGARH,GOVINDGARH,Alisar,-,-,-,-,-,-,27.23444444,75.58250000,,10-01-2024 00:00,65.119995
116,Alri,CGWB,8,Rajasthan,104,JALORE,BHINMAL,BHINMAL,Alri,-,-,-,-,-,-,24.94000000,72.25500000,,30-08-2022 06:00,14.36
117,Alri,CGWB,8,Rajasthan,104,JALORE,BHINMAL,BHINMAL,Alri,-,-,-,-,-,-,24.94000000,72.25500000,,10-11-2022 06:00,14.15
118,Alri,CGWB,8,Rajasthan,104,JALORE,BHINMAL,BHINMAL,Alri,-,-,-,-,-,-,24.94000000,72.25500000,,10-01-2023 00:00,15.5
119,Alri,CGWB,8,Rajasthan,104,JALORE,BHINMAL,BHINMAL,Alri,-,-,-,-,-,-,24.94000000,72.25500000,,30-05-2023 00:00,16.8
120,Alri,CGWB,8,Rajasthan,104,JALORE,BHINMAL,BHINMAL,Alri,-,-,-,-,-,-,24.94000000,72.25500000,,30-08-2023 00:00,13.2
121,Alri,CGWB,8,Rajasthan,104,JALORE,BHINMAL,BHINMAL,Alri,-,-,-,-,-,-,24.94000000,72.25500000,,10-11-2023 00:00,12.4
122,Alri,CGWB,8,Rajasthan,104,JALORE,BHINMAL,BHINMAL,Alri,-,-,-,-,-,-,24.94000000,72.25500000,,10-01-2024 00:00,13
123,AMALIA,CGWB,8,Rajasthan,117,UDAIPUR,Jhallara,JHAROL,AMALIA,-,-,-,-,-,-,24.22888889,73.35416667,,10-01-2021 00:00,4.43
124,AMALIA,CGWB,8,Rajasthan,117,UDAIPUR,Jhallara,JHAROL,AMALIA,-,-,-,-,-,-,24.22888889,73.35416667,,31-08-2021 06:00,4.8
125,AMALIA,CGWB,8,Rajasthan,117,UDAIPUR,Jhallara,JHAROL,AMALIA,-,-,-,-,-,-,24.22888889,73.35416667,,30-11-2021 06:00,2.6
126,AMALIA,CGWB,8,Rajasthan,117,UDAIPUR,Jhallara,JHAROL,AMALIA,-,-,-,-,-,-,24.22888889,73.35416667,,30-01-2022 07:00,3.5
127,AMALIA,CGWB,8,Rajasthan,117,UDAIPUR,Jhallara,JHAROL,AMALIA,-,-,-,-,-,-,24.22888889,73.35416667,,30-05-2022 06:00,5.6
128,AMALIA,CGWB,8,Rajasthan,117,UDAIPUR,Jhallara,JHAROL,AMALIA,-,-,-,-,-,-,24.22888889,73.35416667,,30-05-2023 00:00,5.55
129,AMALIA,CGWB,8,Rajasthan,117,UDAIPUR,Jhallara,JHAROL,AMALIA,-,-,-,-,-,-,24.22888889,73.35416667,,30-08-2023 00:00,2.6
130,AMALIA,CGWB,8,Rajasthan,117,UDAIPUR,Jhallara,JHAROL,AMALIA,-,-,-,-,-,-,24.22888889,73.35416667,,10-11-2023 00:00,5.9
131,AMALIA,CGWB,8,Rajasthan,117,UDAIPUR,Jhallara,JHAROL,AMALIA,-,-,-,-,-,-,24.22888889,73.35416667,,10-01-2024 00:00,2.7
132,Amarsar,CGWB,8,Rajasthan,102,JAIPUR,SHAHPURA,SHAHPURA,Amarsar,-,-,-,-,-,-,27.37527778,75.82861111,,10-01-2021 00:00,64.07
133,Amarsar,CGWB,8,Rajasthan,102,JAIPUR,SHAHPURA,SHAHPURA,Amarsar,-,-,-,-,-,-,27.37527778,75.82861111,,31-08-2021 06:00,62.4
134,Amarsar,CGWB,8,Rajasthan,102,JAIPUR,SHAHPURA,SHAHPURA,Amarsar,-,-,-,-,-,-,27.37527778,75.82861111,,30-01-2022 07:00,63.15
135,Amarsar,CGWB,8,Rajasthan,102,JAIPUR,SHAHPURA,SHAHPURA,Amarsar,-,-,-,-,-,-,27.37527778,75.82861111,,30-05-2022 06:00,65.7
136,Amarsar,CGWB,8,Rajasthan,102,JAIPUR,SHAHPURA,SHAHPURA,Amarsar,-,-,-,-,-,-,27.37527778,75.82861111,,30-08-2023 00:00,66.97
137,Amarsar,CGWB,8,Rajasthan,102,JAIPUR,SHAHPURA,SHAHPURA,Amarsar,-,-,-,-,-,-,27.37527778,75.82861111,,10-11-2023 00:00,67.35
138,Amarsar,CGWB,8,Rajasthan,102,JAIPUR,SHAHPURA,SHAHPURA,Amarsar,-,-,-,-,-,-,27.37527778,75.82861111,,10-01-2024 00:00,69.46
139,AMARWASI,CGWB,8,Rajasthan,92,BHILWARA,JAHAZPUR,JAHAZPUR,AMARWASI,-,-,-,-,-,-,25.72083333,75.35416667,,10-01-2023 00:00,1.79
140,AMARWASI,CGWB,8,Rajasthan,92,BHILWARA,JAHAZPUR,JAHAZPUR,AMARWASI,-,-,-,-,-,-,25.72083333,75.35416667,,30-05-2023 00:00,1.69
141,AMARWASI,CGWB,8,Rajasthan,92,BHILWARA,JAHAZPUR,JAHAZPUR,AMARWASI,-,-,-,-,-,-,25.72083333,75.35416667,,30-08-2023 00:00,1.0400001
142,AMARWASI,CGWB,8,Rajasthan,92,BHILWARA,JAHAZPUR,JAHAZPUR,AMARWASI,-,-,-,-,-,-,25.72083333,75.35416667,,10-01-2024 00:00,1.69
143,AMBER,CGWB,8,Rajasthan,102,JAIPUR,AMER,AMER,AMBER,-,-,-,-,-,-,26.98333333,75.86666667,,10-01-2021 00:00,10.4
144,AMBER,CGWB,8,Rajasthan,102,JAIPUR,AMER,AMER,AMBER,-,-,-,-,-,-,26.98333333,75.86666667,,31-08-2021 06:00,9.3
145,AMBER,CGWB,8,Rajasthan,102,JAIPUR,AMER,AMER,AMBER,-,-,-,-,-,-,26.98333333,75.86666667,,30-11-2021 06:00,10.2
146,AMBER,CGWB,8,Rajasthan,102,JAIPUR,AMER,AMER,AMBER,-,-,-,-,-,-,26.98333333,75.86666667,,30-01-2022 07:00,10.65
147,AMBER,CGWB,8,Rajasthan,102,JAIPUR,AMER,AMER,AMBER,-,-,-,-,-,-,26.98333333,75.86666667,,30-05-2022 06:00,11.55
148,AMBER,CGWB,8,Rajasthan,102,JAIPUR,AMER,AMER,AMBER,-,-,-,-,-,-,26.98333333,75.86666667,,30-08-2022 06:00,6
149,AMBER,CGWB,8,Rajasthan,102,JAIPUR,AMER,AMER,AMBER,-,-,-,-,-,-,26.98333333,75.86666667,,10-11-2022 06:00,8
150,AMBER,CGWB,8,Rajasthan,102,JAIPUR,AMER,AMER,AMBER,-,-,-,-,-,-,26.98333333,75.86666667,,10-01-2023 00:00,7.72
151,AMBER,CGWB,8,Rajasthan,102,JAIPUR,AMER,AMER,AMBER,-,-,-,-,-,-,26.98333333,75.86666667,,30-05-2023 00:00,9.099999
